Title of the Job,Company,Company Info,Responsibilities,Requirements,Job Type,Experience,Education
Dev Ops Engineer II,,"The DevOps Engineer will work side by side with customers and developers in a high frequency / low latency environment building out custom security solutions. The ideal candidate will be creative and have the ability to start new projects, along with the ability to bring new and unique ideas to the table.","Possesses and applies expertise on multiple complex work assignments. Exposure to multiple development languages. Assignments may be broad in nature, requiring originality and innovation in determining how to accomplish tasks.,Operates with appreciable latitude in developing methodology and presenting solutions to problems.,Contributes to deliverables and performance metrics where applicable.,Experience in networking (TCP/IP) protocols, computer/network security, and system administration. Unix/Linux skills required. Python Scripting, JavaScript / NodeJS skills, and AngularJS skills required.,Designs, develops, engineers, and implements custom and off the shelf security solutions that meet customer requirements.,Supports customers at the highest levels in the development and implementation of doctrine and policies.,Applies know-how to government and commercial common user systems, as well as to dedicated special purpose systems requiring specialized security features and procedures.,Analyzes general information assurance-related technical problems and provides basic engineering and technical support in solving these problems.,Occasionally provide security engineering and integration services to internal customers.,Develop detailed supporting documentation regarding technical projects (such as materials to support an architecture review board).,Provide recommendations on collection, processing and distribution systems in the cybersecurity market.,Manage customer expectation and attend all mandatory review / regulatory discussions related to the specific project being delivered.,Experience in networking (TCP/IP) protocols, computer/network security, and system administration.,Experience in Linux, FreeBSD, OpenBSD a plus. 4+ Years of experience in a major scripting language (Python, Perl, Bash, JavaScript),No C2C; W2 or 1099 only",DevOps: 4 years (Required),Location:,"Dublin, OH (Required)",United States (Required)
Software Developer,,,,,,,
Backend Python/Django Developer,,,"Our primary goal is to give people the tools they need to live a healthier and better life,We are a flat organization and prioritize efficiency,We work as a team and every input and suggestion is taken into account, no matter who it comes from,We thrive on open communication and dedication,We are a meritocracy and people who show good abilities can move up in the organization fast.","Full-time only,Position is remote,No agencies,Must work a minimum of 4 hours within PST time zone between 9AM to 8PM PST",,"Writing clean, readable code,Developing scalable, easily-maintainable software,Collaborating with other team members and stakeholders,Optimizing applications for maximum speed and scalability,Extending and improving existing internal software systems,Software Testing,Able to integrate multiple data sources and databases into one system,Participating in daily scrum meetings,Ability to take product ownership and deliver,Basic understanding of front-end technologies,Understanding of accessibility and security compliance,Knowledge of user authentication and authorization between multiple systems, servers, and environments,Understanding the differences between multiple delivery platforms (e.g. mobile vs desktop) and optimizing output to match the specific platform (e.g. HTML5, and CSS3),Good understanding of Git,Strong English-language communication skills,Ability to work both independently and as part of a team","Experience working with and manipulating large datasets,Good front-end ability (Javascript, CSS, HTML),Knowledge of React, Vue.js, jQuery, Bootstrap, and React Native,SQL, PostgreSQL,Familiarity with AWS, bitbucket and heroku,Prior experience with remote work and launching a new product with a startup,3+ years of professional experience working with Django,Science background"
Cloud Engineer,,,,,,,
Software Developer,,,"Work closely with internal and external teams to develop and integrate software tools into existing pipelines.,Plan, assess and implement new technologies to increase efficiency and solve problems.,Testing, debugging, and extending code competently.,Create and maintain development documentation through reporting","At least 2 years professional programming experience.,Proficiency in Python, PyMEL, PySide, PyQt, C++,Demonstrated experience with software development in a fast-paced, media and entertainment environment.,Flexibility and adaptability to shifting priorities and demands.,Detail-oriented and strong, self-sufficient troubleshooter.,Experience with version control systems (Git, Perforce).,A Bachelor’s degree in Computer Science, Computer Graphics, or an equivalent combination of education and experience.",,"Thorough understanding of the entire CG production pipeline, from shooting to modeling and texturing, animation, rendering and compositing.,Strong written and verbal communication skills.,Working knowledge / understanding of Shotgun.,Working knowledge of package configuration systems (e.g. Rez).,General knowledge of networking and performance issues.,General knowledge of network storage protocols (e.g. SMB, NFS).,Working knowledge of VFX applications (e.g. Maya, Nuke, Unreal Engine, Substance, Houdini, ZBrush, Deadline) is a plus).,Work on optimizing performance and improving render quality in game engine.,Proactive problem-solver with great time-management.","Programming: 2 years (Preferred),software development: 2 years (Preferred)"
Full Stack Developer,,,"Data Modeling,Business Logic,API layer / Action Layer / MVC,User Interface,User Experience,Understanding what the customer and the business need,Server, Network, and Hosting Environment,Degree in Computer Science, Software Engineering, or equivalent,Strong interpersonal and communication skills, a good work ethic and sense of humor,4+ years as a developer and/or developer lead,Proficiency in multiple programming languages,Java, JavaScript, Python experience highly preferred,Experience with relational and NoSQL databases,Experience with RESTful web services,Proven experience with client-side web development,Comfortable working with open-source technologies",,,,
Full Stack Java Engineer,,,,,,,
Machine Learning Engineer,,,"Having a direct impact on the company's success,Collaborative, intelligent, and open team,Mentorship, growth, and friendship,Leader committed to challenging and growing team members,Feeling safe asking for help when it's necessary; feeling trusted to get the job done when it's not","Experience in productionalizing, deploying, and training machine learning models (we use python and sklearn, but experience in any language is valuable),Interest in helping other data scientists improve code quality in addition to conducting independent analyses,Experience optimizing models for memory and speed,Knowledge of machine learning and statistics or a strong desire to learn,2+ years of professional experience as a data scientist or software engineer",,,
Front-end Developer - Javascript - Chicago,,,,,,,
Angular Developer,,"DineEngine is looking for a motivated, hard-working Angular/Ionic developer who values working on awesome customer experiences and progressive web applications. Our company is in search of a qualified individual who is looking for a long-term position building cutting-edge software for the restaurant, hospitality and retail industries.","2+ years Angular/Ionic development experience REQUIRED,2+ years JavaScript framework experience,Git experience.,3rd Party API experience (Basic Auth and OAuth2) REQUIRED,2+ years Bootstrap 3/4, CSS and HTML experience,Work with UI/UX designers to implement front-end functionality,4 year bachelor's degree in Computer Science or equivalent experience in web/mobile development.","React Native/Mobile Development,AngularJS/ReactJS Development,Custom API development,Docker/DevOps,Android/iOS Experience,Full Stack: PHP, Python, Ruby on Rails development,Progressive web applications (PWA),Restaurant service experience",,"Javascript: 2 years (Preferred),Angular: 2 years (Required)",Bachelor's (Required)
"Developer, IT Applications (ETL, Informatica)",,,,,,,
Sr. ETL/Informatica Developer,,"Our direct client in Columbus Ohio, has an immediate need for an Informatica ETL Developer. This is a contract position for 1 year with possible extensions. The client ais requesting for a in person interview and local candidates shall be given preference.","Collaborate with team and other technical groups in IT to implement data integration, ETL solutions following best practices and adhering to standards,Demonstrate ownership of assignments and professional maturity to deliver well-tested, dependable cost-effective deliverables in a timely manner,Demonstrate excellent communication skills to convey complex design and implementation solutions to colleagues and possibly business users,Provide production and maintenance support for developed applications,Maintain accurate and up to date design, implementation documentation,Develop, test and implement ETL applications using Informatica PowerCenter,Develop routines for ETL performance optimization,Develop scripts SQL, Unix","10+ years of Database programming experience preferably with PL/SQL,10+ years of ETL experience using Informatica ,Extensive knowledge in Data Analysis, Design, Development, Implementation and Testing using Data Extraction, Data Transformation and Data Loading (ETL), and Data Integration using Informatica Power Center.,Experience with developing ETLs that integrate with Cloud systems is helpful.,Strong experience in Informatica tools: Repository manager, Designer, Workflow manager, Workflow monitor. Ability to work with complex mappings using different transformations like Source Qualifier, Lookup, Filter, Expression, Router, Normalizer, Joiner, Update Strategy, Rank, Aggregator, Stored Procedure, Sorter, and Sequence Generator.,Hands-on experience using Informatica with web-based/cloud sources and targets is helpful.,Hands-on experience in one or more programming or scripting languages, such as C++, C#, Java, JavaScript, Python, Perl, , will be helpful.,Understanding of Relational ,Strong understanding of data warehousing concepts is a must.","The ETL Developer will be a key member of Application Design and Development unit at the company. In addition to being responsible for implementing migration and integration ETLs, the developer will work directly with scrum team members and business gathering requirements to analyze, design and/or implement technology best practice business changes. They will work with senior members of the team ensuring the successful delivery of the project.","Bachelor's degree required, preferably in a related discipline such as Information Systems, Computer Science, Software Engineering,Certifications: Informatica PowerCenter is a plus, but not required.","relevant: 10 years (Required),Informatica: 10 years (Required)"
Ansible Developer (BH6) (TF3),,,,,,,
Software Engineer,,"Serves as a Software Engineer in the Division of Human Genetics within the Department of Internal Medicine who administers and implements new features within the Division of Human Genetics Data Management Platform hosted at the Ohio Supercomputer Center; extensively uses Linux high-performance computing environment at the Ohio Supercomputer Center to execute systems administration tasks; identifies issues with the division?s data management platform software and works with the vendor and/or Ohio Supercomputer Center staff to resolve; designs and establishes integrated databases containing phenotypic and genotypic data; administers IBM DB2 and other databases; identifies repositories, data elements, and issues related to capturing required data; develops, documents and maintains custom SQL queries and reports; develops, documents and maintains Java applications and Angular JS web applications to facilitate reporting, data management, and end-user interaction with data; develops, documents and maintains pipelines and scripts for processing of genomic data; executes genomic data processing pipelines; utilizes Git, literate programming and other techniques to document data provenance, configuration changes, and processing steps to ensure reproducibility; uses issue- and time-tracking systems to document work progress; stays abreast of new hardware and software technologies relevant to the operation of the Division of Human Genetics Data Management Platform.",,,"All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, or protected veteran status.",,
Application Developer (Fulltime- GC and Citizens Only),,,,,,,
"DevOps Engineer in Dublin, OH",,,,,,,
Java Full Stack Developer,,Java Full stack web developer,"Java: 4 years (Preferred),Spring Boot, Spring JDBC: 1 year (Preferred)","Dublin, OH (Preferred)",Experience:,Are you an US citizen or Green card holder (Preferred),
Software Engineer,,"Serves as a Software Engineer in the Division of Human Genetics within the Department of Internal Medicine who administers and implements new features within the Division of Human Genetics Data Management Platform hosted at the Ohio Supercomputer Center; extensively uses Linux high-performance computing environment at the Ohio Supercomputer Center to execute systems administration tasks; identifies issues with the division?s data management platform software and works with the vendor and/or Ohio Supercomputer Center staff to resolve; designs and establishes integrated databases containing phenotypic and genotypic data; administers IBM DB2 and other databases; identifies repositories, data elements, and issues related to capturing required data; develops, documents and maintains custom SQL queries and reports; develops, documents and maintains Java applications and Angular JS web applications to facilitate reporting, data management, and end-user interaction with data; develops, documents and maintains pipelines and scripts for processing of genomic data; executes genomic data processing pipelines; utilizes Git, literate programming and other techniques to document data provenance, configuration changes, and processing steps to ensure reproducibility; uses issue- and time-tracking systems to document work progress; stays abreast of new hardware and software technologies relevant to the operation of the Division of Human Genetics Data Management Platform.",,,"All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, or protected veteran status.",,
Sales and Marketing Analyst,,,"Project-focused workload determined by departmental challenges; mainly sales and analytics,Gather and maintain data within the company, such as ERP and POS (i.e., Nielsen, IRI). This includes building applications and reports that collect, clean, securely store, and present company data","Strong analytical and mathematical skills; self-starter; manage multiple priorities simultaneously,POS IRI/ Nielsen and PowerBi Experience, , familiarity with programming languages which may include SQL, Python, DAX, SSIS, CSS, JS, etc.","You are primarily responsible for analysis of CPG retail level performance and the support of retailer meeting preparation and promotional planning. You are responsible for improving data collection and reporting capabilities across the business; the link between the business needs and technology resources in order to solve for operational efficiencies. Your insights are crucial to obtain deeper, easier and quicker data, so that the team can develop impactful relationships with our customers","Create reports that provide a real-time snapshot of accounts’ health, category performance, and other KPI data. It includes key sales reporting, promotional reporting (i.e., promotional effectiveness, prediction models), and key accounting reporting,Troubleshoot production and maintenance issues of systems critical to decision-makers","Commercial awareness; quickly understand subtle nuances associated with complex problems; conclusions and recommendations must be supported with both data and past experiences,MS Office Suite; advanced Excel user"
NiFi Developer,,,"Develop programs that are designed, developed, and implemented across the enterprise;,Work with the enterprise architecture and functional teams to ensure that your solutions meet business needs,Develop well-engineered, maintainable solutions that are delivered on schedule.,Ensure compliance with best practices and help build those practices, including coding standards, OOD, and platform and framework designs along with interface guidelines.,Track and document requirements forenterprise development projects and enhancements.","AWS: 1 year (Required),Apache Nifi: 2 years (Required),Java: 3 years (Required),Big Data: 1 year (Required)",,"Columbus, OH (Required)",United States (Preferred)
Senior Software Engineer - Machine Learning,,,"Collaborating on the design of key back-end software architecture and modules.,Coding on new features, bug fixes and unit tests,Integrating, debugging, and deploying state-of-the-art algorithms and methods,Managing code changes with version control using Git branching,Writing algorithm tests and numerical evaluations","Minimum of BS in Computer Science, Electrical Engineering or equivalent,3 to 5 years of full stack development experience or equivalent industry experience,Strong knowledge and experience with C++ and Python languages,Experience with version control, preferably Git,Experience with linux,Development of drivers and communication methods for robotic hardware and sensors,Good mathematical fundamentals, particularly linear algebra, numerical methods and optimization",,"Experience with database design and implementation,Experience with ROS (Robot Operating System),Experience with SQL, Angular, Javascript","More than just filling a role - we value people, their individuality, and their ideas.,Join a team of dedicated, supportive and enthusiastic people working together to achieve our vision.,An opportunity to be a part of a venture-backed startup early on, where your work will have an immediate and direct impact.,Exceptional benefits, team events and more!,Competitive compensation and equity - invest in yourself!"
Junior Software Engineer,,,,,,,
Software Engineer,,"Serves as a Software Engineer in the Division of Human Genetics within the Department of Internal Medicine who administers and implements new features within the Division of Human Genetics Data Management Platform hosted at the Ohio Supercomputer Center; extensively uses Linux high-performance computing environment at the Ohio Supercomputer Center to execute systems administration tasks; identifies issues with the division?s data management platform software and works with the vendor and/or Ohio Supercomputer Center staff to resolve; designs and establishes integrated databases containing phenotypic and genotypic data; administers IBM DB2 and other databases; identifies repositories, data elements, and issues related to capturing required data; develops, documents and maintains custom SQL queries and reports; develops, documents and maintains Java applications and Angular JS web applications to facilitate reporting, data management, and end-user interaction with data; develops, documents and maintains pipelines and scripts for processing of genomic data; executes genomic data processing pipelines; utilizes Git, literate programming and other techniques to document data provenance, configuration changes, and processing steps to ensure reproducibility; uses issue- and time-tracking systems to document work progress; stays abreast of new hardware and software technologies relevant to the operation of the Division of Human Genetics Data Management Platform.",,,"All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, or protected veteran status.",,
Senior Perl Developer,,,,,,,
Sr. ETL/Informatica Developer,,"Our direct client in Columbus Ohio, has an immediate need for an Informatica ETL Developer. This is a contract position for 1 year with possible extensions. The client ais requesting for a in person interview and local candidates shall be given preference.","Collaborate with team and other technical groups in IT to implement data integration, ETL solutions following best practices and adhering to standards,Demonstrate ownership of assignments and professional maturity to deliver well-tested, dependable cost-effective deliverables in a timely manner,Demonstrate excellent communication skills to convey complex design and implementation solutions to colleagues and possibly business users,Provide production and maintenance support for developed applications,Maintain accurate and up to date design, implementation documentation,Develop, test and implement ETL applications using Informatica PowerCenter,Develop routines for ETL performance optimization,Develop scripts SQL, Unix","10+ years of Database programming experience preferably with PL/SQL,10+ years of ETL experience using Informatica ,Extensive knowledge in Data Analysis, Design, Development, Implementation and Testing using Data Extraction, Data Transformation and Data Loading (ETL), and Data Integration using Informatica Power Center.,Experience with developing ETLs that integrate with Cloud systems is helpful.,Strong experience in Informatica tools: Repository manager, Designer, Workflow manager, Workflow monitor. Ability to work with complex mappings using different transformations like Source Qualifier, Lookup, Filter, Expression, Router, Normalizer, Joiner, Update Strategy, Rank, Aggregator, Stored Procedure, Sorter, and Sequence Generator.,Hands-on experience using Informatica with web-based/cloud sources and targets is helpful.,Hands-on experience in one or more programming or scripting languages, such as C++, C#, Java, JavaScript, Python, Perl, , will be helpful.,Understanding of Relational ,Strong understanding of data warehousing concepts is a must.","The ETL Developer will be a key member of Application Design and Development unit at the company. In addition to being responsible for implementing migration and integration ETLs, the developer will work directly with scrum team members and business gathering requirements to analyze, design and/or implement technology best practice business changes. They will work with senior members of the team ensuring the successful delivery of the project.","Bachelor's degree required, preferably in a related discipline such as Information Systems, Computer Science, Software Engineering,Certifications: Informatica PowerCenter is a plus, but not required.","relevant: 10 years (Required),Informatica: 10 years (Required)"
Angular Developer,,"DineEngine is looking for a motivated, hard-working Angular/Ionic developer who values working on awesome customer experiences and progressive web applications. Our company is in search of a qualified individual who is looking for a long-term position building cutting-edge software for the restaurant, hospitality and retail industries.","2+ years Angular/Ionic development experience REQUIRED,2+ years JavaScript framework experience,Git experience.,3rd Party API experience (Basic Auth and OAuth2) REQUIRED,2+ years Bootstrap 3/4, CSS and HTML experience,Work with UI/UX designers to implement front-end functionality,4 year bachelor's degree in Computer Science or equivalent experience in web/mobile development.","React Native/Mobile Development,AngularJS/ReactJS Development,Custom API development,Docker/DevOps,Android/iOS Experience,Full Stack: PHP, Python, Ruby on Rails development,Progressive web applications (PWA),Restaurant service experience",,"Javascript: 2 years (Preferred),Angular: 2 years (Required)",Bachelor's (Required)
Theroetical/Computational Biologist,,,,,,,
Ansible Developer (BH6) (TF3),,,,,,,
Cloud Developer,,,"3-5 year experience,Python, Bash, Pearl,Some AWS,Linux based systems,Centos OS","Government Clearance,AWS certification,Mesos and DC/OS training,Jenkins / CI/CD,Relocation to DC Virginia area,Competitive Salaries",,,
Frontend Developer,Wondersauce,,"Ability to work both autonomously and collaboratively across disciplines with Product Managers, Strategists, UX Designers, Art Directors, and Developers,Partner with clients and developers from external teams to create a product that both teams can be proud of,Build out modular templates using modern CSS techniques and efficient, modular Javascript, while being responsible for ensuring the code performs across devices and browsers.","2+ years professional web dev experience,Use of modern CSS techniques including pre-processors, critical CSS, and implementing polyfills when necessary,Documented experience writing clean, readable, well-documented and modular JS, previous experience with JS frameworks a plus,Experience with responsive and cross-browser development and testing,Experience with the Liquid template language,Concise communication skills, both written and verbal",,"Experience with templating languages (Moustache, Handlebars, Twig, etc),Experience working with Shopify, Magento or other ecommerce platform,Experience working with Wordpress, Drupal or other CMSs,Experience with A11y development,Experience working with design comps in Sketch",
GIS Software Developer,,,,,,,
Computer Software Developer (Predictive Modeling),,,,,,,
Mid Level Software Engineer (MVC Frameworks),CareWorks Technologies," Columbus, OH","5+ years experience building large scale applications,Experience in AWS EC2, ECS,Experience with Heroku hosting and services,Experience with Docker and similar container services,AWS Elastic Beanstalk, Lambda,Postgres, MySQL and Microsoft SQL,Google App Engine,Understanding of the HTTP protocol and general TCP/IP,Bachelor’s Degree, Computer Science or related field preferred,Experience in testing and load testing high-performance, highly-available and scalable distributed systems is a plus",,Required Skills**,,
Software Engineer,OSU Wexner Medical Center,"Serves as a Software Engineer in the Division of Human Genetics within the Department of Internal Medicine who administers and implements new features within the Division of Human Genetics Data Management Platform hosted at the Ohio Supercomputer Center; extensively uses Linux high-performance computing environment at the Ohio Supercomputer Center to execute systems administration tasks; identifies issues with the division?s data management platform software and works with the vendor and/or Ohio Supercomputer Center staff to resolve; designs and establishes integrated databases containing phenotypic and genotypic data; administers IBM DB2 and other databases; identifies repositories, data elements, and issues related to capturing required data; develops, documents and maintains custom SQL queries and reports; develops, documents and maintains Java applications and Angular JS web applications to facilitate reporting, data management, and end-user interaction with data; develops, documents and maintains pipelines and scripts for processing of genomic data; executes genomic data processing pipelines; utilizes Git, literate programming and other techniques to document data provenance, configuration changes, and processing steps to ensure reproducibility; uses issue- and time-tracking systems to document work progress; stays abreast of new hardware and software technologies relevant to the operation of the Division of Human Genetics Data Management Platform.",,,"All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, or protected veteran status.",,
Theroetical/Computational Biologist,Battelle,,,,,,
Ansible Developer (BH6) (TF3),Fast Switch,,,,,,
Process Automation Engineer,Chipotle Mexican Grill,,,,,,
Junior Software Engineer,Battelle,,,,,,
DevOps Developer,American Chemical Society,,,,,,
Angular Developer,,"DineEngine is looking for a motivated, hard-working Angular/Ionic developer who values working on awesome customer experiences and progressive web applications. Our company is in search of a qualified individual who is looking for a long-term position building cutting-edge software for the restaurant, hospitality and retail industries.","2+ years Angular/Ionic development experience REQUIRED,2+ years JavaScript framework experience,Git experience.,3rd Party API experience (Basic Auth and OAuth2) REQUIRED,2+ years Bootstrap 3/4, CSS and HTML experience,Work with UI/UX designers to implement front-end functionality,4 year bachelor's degree in Computer Science or equivalent experience in web/mobile development.","React Native/Mobile Development,AngularJS/ReactJS Development,Custom API development,Docker/DevOps,Android/iOS Experience,Full Stack: PHP, Python, Ruby on Rails development,Progressive web applications (PWA),Restaurant service experience",,"Javascript: 2 years (Preferred),Angular: 2 years (Required)",Bachelor's (Required)
QA Automation Engineer,Veeva Systems,,,,,,
